blender_foundation_blender_2024
brocker_sorocad_2022
chilton_space_1999
deimel_compliant_2013
domel_doo_714_2025
festo_corporation_fluidic_2025
greer_series_2017
gu_pneumesh_2022
heimlich_valve_1968
kilic_afsar_omnifiber_2021
kladeftira_digital_2021
kobayashi_large_2023
kovacs_trussformer_2018
kovacs_trussfab_2017
kurita_development_2001
jamil_review_2024
lee_harnessing_2023
leister_technologies_ag_leister_2025
lin_coneact_2024
littlehorn_balloon_1999
lo_inflation_2001
lu_sustainflatable_2023
luo_digital_2022
lyder_mechanical_2008
macmurtrie_interactive_2006
mero-tsk_international_gmbh__co_kg_mero_2025
miura_variable_1985
morita_inflatablemod_2023
murrenhoff_notitle_2016
narumi_liquid_2020
networkx_developers_bridges_2025
networkx_developers_eulerize_2025
nguyen_design_2020
oh_toward_2023
oka_folding_2024
oka_pneumatic_2025
oneill_unfolding_2022
otherlab_ant-roach_2012
ou_aeromorph_2016
park_simple_2022
rambold_airtied_2023
rhodes_deployable_1985
rivertex__technical_fabrics_group_bv_ecoseal_2025
rus_design_2015
sadeghi_toward_2017
sareen_printflatables_2017
savage_airlogic_2022
schrijver_weighted_2017
teng_tilepop_2019
shepherd_multigait_2011
shtarbanov_flowio_2021
suzuki_lifttiles_2019
spinos_variable_2017
swaminathan_input_2019
takeichi_development_2017
usevitch_untethered_2020
velcro_ip_holdings_llc_hook_2025
webb_auto-inflatables_2019
wehner_integrated_2016
westhues_solvespace_2025
yang_snapinflatables_2024
